n;Dense Full Pivot LU AVX;
100;272;
300;7681;
500;25054;
700;108249;
900;166977;
1100;343442;
1300;627384;
1500;1043152;
1700;1687227;
1900;2350814;
2100;3341629;
2300;4480120;
2500;5863157;
2700;7388370;
2900;9296277;
3100;11484989;
3300;13923298;
3500;16761115;
3700;19791648;
3900;23542133;

