x_n;y_n
0;-2.00401e-06
0.002002;-1.97634e-17
0.004004;6.0117e-06
0.00600601;1.60301e-05
0.00800801;3.00538e-05
0.01001;4.80803e-05
0.012012;7.0107e-05
0.014014;9.61303e-05
0.016016;0.000126146
0.018018;0.00016015
0.02002;0.000198136
0.022022;0.000240098
0.024024;0.00028603
0.026026;0.000335925
0.028028;0.000389774
0.03003;0.00044757
0.032032;0.000509302
0.034034;0.000574962
0.036036;0.000644539
0.038038;0.000718021
0.04004;0.000795398
0.042042;0.000876657
0.044044;0.000961786
0.046046;0.00105077
0.048048;0.0011436
0.0500501;0.00124025
0.0520521;0.00134071
0.0540541;0.00144497
0.0560561;0.00155301
0.0580581;0.00166482
0.0600601;0.00178036
0.0620621;0.00189964
0.0640641;0.00202262
0.0660661;0.00214929
0.0680681;0.00227963
0.0700701;0.00241362
0.0720721;0.00255123
0.0740741;0.00269245
0.0760761;0.00283725
0.0780781;0.00298561
0.0800801;0.0031375
0.0820821;0.00329291
0.0840841;0.00345181
0.0860861;0.00361416
0.0880881;0.00377996
0.0900901;0.00394917
0.0920921;0.00412176
0.0940941;0.0042977
0.0960961;0.00447698
0.0980981;0.00465956
0.1001;0.00484541
0.102102;0.0050345
0.104104;0.0052268
0.106106;0.00542229
0.108108;0.00562093
0.11011;0.00582268
0.112112;0.00602753
0.114114;0.00623543
0.116116;0.00644636
0.118118;0.00666027
0.12012;0.00687714
0.122122;0.00709694
0.124124;0.00731961
0.126126;0.00754515
0.128128;0.00777349
0.13013;0.00800462
0.132132;0.00823849
0.134134;0.00847507
0.136136;0.00871432
0.138138;0.0089562
0.14014;0.00920067
0.142142;0.0094477
0.144144;0.00969724
0.146146;0.00994926
0.148148;0.0102037
0.15015;0.0104606
0.152152;0.0107198
0.154154;0.0109813
0.156156;0.0112451
0.158158;0.0115111
0.16016;0.0117793
0.162162;0.0120497
0.164164;0.0123222
0.166166;0.0125967
0.168168;0.0128733
0.17017;0.0131518
0.172172;0.0134323
0.174174;0.0137146
0.176176;0.0139988
0.178178;0.0142848
0.18018;0.0145725
0.182182;0.0148619
0.184184;0.015153
0.186186;0.0154458
0.188188;0.0157401
0.19019;0.0160359
0.192192;0.0163331
0.194194;0.0166319
0.196196;0.0169319
0.198198;0.0172334
0.2002;0.0175361
0.202202;0.01784
0.204204;0.0181452
0.206206;0.0184515
0.208208;0.0187588
0.21021;0.0190673
0.212212;0.0193767
0.214214;0.0196871
0.216216;0.0199983
0.218218;0.0203105
0.22022;0.0206234
0.222222;0.020937
0.224224;0.0212514
0.226226;0.0215664
0.228228;0.0218821
0.23023;0.0221982
0.232232;0.0225149
0.234234;0.022832
0.236236;0.0231496
0.238238;0.0234675
0.24024;0.0237857
0.242242;0.0241041
0.244244;0.0244227
0.246246;0.0247415
0.248248;0.0250604
0.25025;0.0253794
0.252252;0.0256983
0.254254;0.0260172
0.256256;0.026336
0.258258;0.0266546
0.26026;0.0269731
0.262262;0.0272913
0.264264;0.0276091
0.266266;0.0279267
0.268268;0.0282438
0.27027;0.0285605
0.272272;0.0288767
0.274274;0.0291923
0.276276;0.0295073
0.278278;0.0298217
0.28028;0.0301354
0.282282;0.0304483
0.284284;0.0307604
0.286286;0.0310717
0.288288;0.031382
0.29029;0.0316915
0.292292;0.0319999
0.294294;0.0323073
0.296296;0.0326135
0.298298;0.0329187
0.3003;0.0332226
0.302302;0.0335254
0.304304;0.0338268
0.306306;0.0341269
0.308308;0.0344256
0.31031;0.0347229
0.312312;0.0350187
0.314314;0.035313
0.316316;0.0356057
0.318318;0.0358968
0.32032;0.0361862
0.322322;0.036474
0.324324;0.0367599
0.326326;0.0370441
0.328328;0.0373265
0.33033;0.0376069
0.332332;0.0378855
0.334334;0.038162
0.336336;0.0384365
0.338338;0.038709
0.34034;0.0389794
0.342342;0.0392476
0.344344;0.0395136
0.346346;0.0397774
0.348348;0.0400389
0.35035;0.0402982
0.352352;0.040555
0.354354;0.0408095
0.356356;0.0410615
0.358358;0.041311
0.36036;0.0415581
0.362362;0.0418025
0.364364;0.0420444
0.366366;0.0422837
0.368368;0.0425202
0.37037;0.0427541
0.372372;0.0429852
0.374374;0.0432136
0.376376;0.0434391
0.378378;0.0436618
0.38038;0.0438816
0.382382;0.0440985
0.384384;0.0443124
0.386386;0.0445233
0.388388;0.0447312
0.39039;0.044936
0.392392;0.0451378
0.394394;0.0453364
0.396396;0.0455319
0.398398;0.0457242
0.4004;0.0459133
0.402402;0.0460992
0.404404;0.0462817
0.406406;0.046461
0.408408;0.046637
0.41041;0.0468096
0.412412;0.0469788
0.414414;0.0471446
0.416416;0.0473069
0.418418;0.0474658
0.42042;0.0476212
0.422422;0.0477731
0.424424;0.0479215
0.426426;0.0480663
0.428428;0.0482075
0.43043;0.0483451
0.432432;0.0484791
0.434434;0.0486094
0.436436;0.0487361
0.438438;0.0488591
0.44044;0.0489784
0.442442;0.0490939
0.444444;0.0492057
0.446446;0.0493138
0.448448;0.049418
0.45045;0.0495185
0.452452;0.0496151
0.454454;0.049708
0.456456;0.0497969
0.458458;0.0498821
0.46046;0.0499633
0.462462;0.0500407
0.464464;0.0501142
0.466466;0.0501838
0.468468;0.0502494
0.47047;0.0503112
0.472472;0.050369
0.474474;0.0504228
0.476476;0.0504727
0.478478;0.0505186
0.48048;0.0505606
0.482482;0.0505986
0.484484;0.0506326
0.486486;0.0506626
0.488488;0.0506886
0.49049;0.0507106
0.492492;0.0507287
0.494494;0.0507427
0.496496;0.0507527
0.498498;0.0507587
0.500501;0.0507607
0.502503;0.0507587
0.504505;0.0507527
0.506507;0.0507427
0.508509;0.0507287
0.510511;0.0507106
0.512513;0.0506886
0.514515;0.0506626
0.516517;0.0506326
0.518519;0.0505986
0.520521;0.0505606
0.522523;0.0505186
0.524525;0.0504727
0.526527;0.0504228
0.528529;0.050369
0.530531;0.0503112
0.532533;0.0502494
0.534535;0.0501838
0.536537;0.0501142
0.538539;0.0500407
0.540541;0.0499633
0.542543;0.0498821
0.544545;0.0497969
0.546547;0.049708
0.548549;0.0496151
0.550551;0.0495185
0.552553;0.049418
0.554555;0.0493138
0.556557;0.0492057
0.558559;0.0490939
0.560561;0.0489784
0.562563;0.0488591
0.564565;0.0487361
0.566567;0.0486094
0.568569;0.0484791
0.570571;0.0483451
0.572573;0.0482075
0.574575;0.0480663
0.576577;0.0479215
0.578579;0.0477731
0.580581;0.0476212
0.582583;0.0474658
0.584585;0.0473069
0.586587;0.0471446
0.588589;0.0469788
0.590591;0.0468096
0.592593;0.046637
0.594595;0.046461
0.596597;0.0462817
0.598599;0.0460992
0.600601;0.0459133
0.602603;0.0457242
0.604605;0.0455319
0.606607;0.0453364
0.608609;0.0451378
0.610611;0.044936
0.612613;0.0447312
0.614615;0.0445233
0.616617;0.0443124
0.618619;0.0440985
0.620621;0.0438816
0.622623;0.0436618
0.624625;0.0434391
0.626627;0.0432136
0.628629;0.0429852
0.630631;0.0427541
0.632633;0.0425202
0.634635;0.0422837
0.636637;0.0420444
0.638639;0.0418025
0.640641;0.0415581
0.642643;0.041311
0.644645;0.0410615
0.646647;0.0408095
0.648649;0.040555
0.650651;0.0402982
0.652653;0.0400389
0.654655;0.0397774
0.656657;0.0395136
0.658659;0.0392476
0.660661;0.0389794
0.662663;0.038709
0.664665;0.0384365
0.666667;0.038162
0.668669;0.0378855
0.670671;0.0376069
0.672673;0.0373265
0.674675;0.0370441
0.676677;0.0367599
0.678679;0.036474
0.680681;0.0361862
0.682683;0.0358968
0.684685;0.0356057
0.686687;0.035313
0.688689;0.0350187
0.690691;0.0347229
0.692693;0.0344256
0.694695;0.0341269
0.696697;0.0338268
0.698699;0.0335254
0.700701;0.0332226
0.702703;0.0329187
0.704705;0.0326135
0.706707;0.0323073
0.708709;0.0319999
0.710711;0.0316915
0.712713;0.031382
0.714715;0.0310717
0.716717;0.0307604
0.718719;0.0304483
0.720721;0.0301354
0.722723;0.0298217
0.724725;0.0295073
0.726727;0.0291923
0.728729;0.0288767
0.730731;0.0285605
0.732733;0.0282438
0.734735;0.0279267
0.736737;0.0276091
0.738739;0.0272913
0.740741;0.0269731
0.742743;0.0266546
0.744745;0.026336
0.746747;0.0260172
0.748749;0.0256983
0.750751;0.0253794
0.752753;0.0250604
0.754755;0.0247415
0.756757;0.0244227
0.758759;0.0241041
0.760761;0.0237857
0.762763;0.0234675
0.764765;0.0231496
0.766767;0.022832
0.768769;0.0225149
0.770771;0.0221982
0.772773;0.0218821
0.774775;0.0215664
0.776777;0.0212514
0.778779;0.020937
0.780781;0.0206234
0.782783;0.0203105
0.784785;0.0199983
0.786787;0.0196871
0.788789;0.0193767
0.790791;0.0190673
0.792793;0.0187588
