n;Dense Full Pivot QR;
100;363;
430;25062;
760;157354;
1090;512066;
1420;1334419;
1750;2825478;
2080;5169349;
2410;8320887;
2740;12287593;
3070;17623164;
3400;23196377;
3730;30374671;
4060;39267746;
4390;48766072;
4720;59829461;
5050;74748500;
5380;86632275;
5710;105379421;
6040;122898018;
6370;141745125;
6700;170917648;
7030;191206657;
7360;219387736;
7690;251997470;
8020;282759327;
8350;316481806;
8680;364550491;
9010;399957797;
9340;439478342;
9670;499897273;

