Dense Partial Pivot QR
100;30;
300;256;
500;1041;
700;2673;
900;5869;
1100;11844;
1300;20662;
1500;28823;
1700;40398;
1900;56238;
2100;79786;
2300;100539;
2500;126674;
2700;159194;
2900;196420;
3100;253558;
3300;292280;
3500;346071;
3700;493968;
3900;512378;

