n;Sparse LU;
100;90;
430;511;
760;495;
1090;661;
1420;796;
1750;955;
2080;1159;
2410;1366;
2740;1591;
3070;1822;
3400;2053;
3730;2255;
4060;2440;
4390;2659;
4720;2892;
5050;3096;
5380;3333;
5710;3565;
6040;3762;
6370;4072;
6700;4219;
7030;4525;
7360;4647;
7690;5011;
8020;5072;
8350;5285;
8680;5577;
9010;5724;
9340;5955;
9670;6150;

