n;Dense Full Pivot LU;
100;324;
430;13333;
760;70307;
1090;254094;
1420;774918;
1750;1630356;
2080;2947006;
2410;4812561;
2740;7266994;
3070;10466348;
3400;14542114;
3730;19404054;
4060;25106263;
4390;32088414;
4720;40374897;
5050;49235646;
5380;60041164;
5710;71475569;
6040;86407936;
6370;100263560;
6700;117258150;
7030;134517237;
7360;155482142;
7690;176634599;
8020;200912868;
8350;225209649;
8680;256525512;
9010;283442990;
9340;317868587;
9670;349281571;

