n;Sparse LU;
200;97;
698;384;
1196;1163;
1694;1518;
2192;1888;
2690;2533;
3188;2617;
3686;2995;
4184;3504;
4682;4302;
5180;4028;
5678;4922;
6176;5088;
6674;5284;
7172;5500;
7670;6228;
8168;6629;
8666;6605;
9164;7030;
9662;6786;
10160;7679;
10658;7610;
11156;7892;
11654;8429;
12152;8623;
12650;8880;
13148;9097;
13646;9769;
14144;9830;
14642;10453;
15140;10388;
15638;11318;
16136;11434;
16634;11259;
17132;11992;
17630;11129;
18128;12747;
18626;12717;
19124;12511;
19622;13525;
20120;13367;
20618;14008;
21116;14041;
21614;14066;
22112;15301;
22610;14955;
23108;14877;
23606;15149;
24104;15914;
24602;15547;
25100;16671;
25598;16915;
26096;17222;
26594;17244;
27092;16971;
27590;18035;
28088;17739;
28586;18212;
29084;21179;
29582;25902;
30080;25675;
30578;26751;
31076;25880;
31574;28164;
32072;28968;
32570;26936;
33068;30635;
33566;27504;
34064;30430;
34562;29235;
35060;31081;
35558;31805;
36056;31050;
36554;30778;
37052;33086;
37550;32465;
38048;32000;
38546;33182;
39044;33170;
39542;34246;
40040;32822;
40538;33971;
41036;32791;
41534;33956;
42032;35178;
42530;34820;
43028;34645;
43526;35719;
44024;34531;
44522;38919;
45020;34762;
45518;37120;
46016;38621;
46514;41399;
47012;37326;
47510;34772;
48008;35978;
48506;41362;
49004;38873;
49502;38349;

