N;Approx
0;1277.89
1;424.986
2;274.956
3;211.948
4;175.681
5;152.634
6;147.358
7;129.679
8;128.038
9;122.047
10;108.146
11;104.882
12;103.223
13;100.471
14;85.7693
15;81.6468
16;80.3454
17;79.5945
18;76.3812
19;66.1416
20;61.283
21;59.3599
22;58.3889
23;57.7553
24;57.0177
25;39.4267
26;35.3589
27;34.3334
28;34.0553
29;33.9764
30;33.9526
31;33.9444
32;33.4594
33;12.016
34;10.5069
35;10.1261
36;10.0281
37;10.0028
38;9.99625
39;9.99456
40;9.99412
41;9.99401
42;9.99398
43;9.99397
44;9.99397
45;9.99397
46;9.99396
47;9.99396
48;9.99396
49;9.99396
50;9.99396
51;9.99395
52;9.99395
53;9.99394
54;9.99394
55;9.99393
56;9.99392
57;9.99392
58;9.99391
59;9.99389
60;9.99388
61;9.99386
62;9.99384
63;9.99382
64;9.99379
65;9.99375
66;9.99371
67;9.99365
68;9.99356
69;9.99339
70;9.99304
71;9.99217
72;9.98988
73;9.98365
74;9.9664
75;9.91864
76;9.78802
77;9.44448
78;8.62795
79;7.06755
80;4.96944
81;3.04395
82;1.70743
83;0.913371
84;0.476877
85;0.245938
86;0.12605
87;0.0644018
88;0.0328528
89;0.0167461
90;0.00853309
91;0.00434759
92;0.00221515
93;0.0011288
94;0.000575367
95;0.000293396
96;0.00014971
97;7.64705e-05
98;3.9124e-05
99;2.00677e-05
100;1.03341e-05
101;5.35412e-06
102;2.79939e-06
103;1.48312e-06
104;8.00161e-07
105;4.41803e-07
106;2.50428e-07
107;1.45463e-07
108;8.56444e-08
109;4.97689e-08
110;2.68856e-08
111;1.12977e-08
