N;Approx
0;1267.07
1;427.397
2;260.922
3;188.898
4;148.799
5;123.435
6;106.059
7;93.5017
8;84.0733
9;76.7857
10;71.0168
11;66.3533
12;62.5103
13;59.2862
14;56.5352
15;54.1504
16;52.0526
17;50.1822
18;48.4942
19;46.9542
20;45.5358
21;44.2185
22;42.9861
23;41.8261
24;40.7283
25;39.6849
26;38.6892
27;37.7361
28;36.8211
29;35.9408
30;35.0923
31;34.2729
32;33.4807
33;32.7138
34;31.9708
35;31.2503
36;30.5512
37;29.8725
38;29.2132
39;28.5726
40;27.9499
41;27.3446
42;26.7559
43;26.1835
44;25.6267
45;25.0851
46;24.5582
47;24.0456
48;23.547
49;23.0619
50;22.59
51;22.1309
52;21.6844
53;21.2499
54;20.8273
55;20.4163
56;20.0165
57;19.6276
58;19.2494
59;18.8816
60;18.5239
61;18.176
62;17.8377
63;17.5087
64;17.1888
65;16.8776
66;16.5751
67;16.2809
68;15.9949
69;15.7167
70;15.4462
71;15.1831
72;14.9273
73;14.6785
74;14.4365
75;14.2012
76;13.9723
77;13.7497
78;13.5331
79;13.3225
80;13.1176
81;12.9182
82;12.7242
83;12.5355
84;12.3518
85;12.173
86;11.999
87;11.8297
88;11.6648
89;11.5043
90;11.348
91;11.1958
92;11.0476
93;10.9032
94;10.7626
95;10.6255
96;10.492
97;10.3619
98;10.2351
99;10.1115
100;9.99096
101;9.87345
102;9.75885
103;9.64708
104;9.53805
105;9.43167
106;9.32787
107;9.22656
108;9.12768
109;9.03114
110;8.93688
111;8.84483
112;8.75492
113;8.66709
114;8.58128
115;8.49741
116;8.41545
117;8.33532
118;8.25698
119;8.18037
120;8.10544
121;8.03214
122;7.96042
123;7.89024
124;7.82155
125;7.75431
126;7.68847
127;7.624
128;7.56085
129;7.49899
130;7.43838
131;7.37899
132;7.32077
133;7.2637
134;7.20774
135;7.15286
136;7.09903
137;7.04623
138;6.99442
139;6.94357
140;6.89367
141;6.84467
142;6.79657
143;6.74932
144;6.70292
145;6.65734
146;6.61255
147;6.56853
148;6.52526
149;6.48273
150;6.44092
151;6.39979
152;6.35935
153;6.31956
154;6.28041
155;6.24189
156;6.20397
157;6.16665
158;6.12991
159;6.09373
160;6.0581
161;6.023
162;5.98843
163;5.95437
164;5.9208
165;5.88771
166;5.8551
167;5.82295
168;5.79124
169;5.75998
170;5.72914
171;5.69872
172;5.66871
173;5.6391
174;5.60988
175;5.58103
176;5.55256
177;5.52445
178;5.49669
179;5.46928
180;5.44221
181;5.41547
182;5.38905
183;5.36295
184;5.33716
185;5.31167
186;5.28647
187;5.26157
188;5.23694
189;5.2126
190;5.18852
191;5.16471
192;5.14116
193;5.11787
194;5.09482
195;5.07202
196;5.04945
197;5.02712
198;5.00502
199;4.98314
200;4.96149
201;4.94005
202;4.91882
203;4.89779
204;4.87697
205;4.85635
206;4.83593
207;4.8157
208;4.79565
209;4.77579
210;4.75611
211;4.73661
212;4.71728
213;4.69812
214;4.67913
215;4.66031
216;4.64165
217;4.62315
218;4.6048
219;4.5866
220;4.56856
221;4.55067
222;4.53292
223;4.51531
224;4.49785
225;4.48052
226;4.46333
227;4.44627
228;4.42934
229;4.41255
230;4.39588
231;4.37933
232;4.36291
233;4.34661
234;4.33043
235;4.31436
236;4.29841
237;4.28257
238;4.26685
239;4.25123
240;4.23573
241;4.22033
242;4.20503
243;4.18984
244;4.17476
245;4.15977
246;4.14488
247;4.13008
248;4.11539
249;4.10079
250;4.08628
251;4.07186
252;4.05754
253;4.0433
254;4.02916
255;4.0151
256;4.00112
257;3.98723
258;3.97342
259;3.9597
260;3.94606
261;3.93249
262;3.91901
263;3.90561
264;3.89228
265;3.87902
266;3.86585
267;3.85274
268;3.83971
269;3.82676
270;3.81387
271;3.80106
272;3.78831
273;3.77563
274;3.76302
275;3.75048
276;3.73801
277;3.7256
278;3.71325
279;3.70097
280;3.68875
281;3.6766
282;3.6645
283;3.65247
284;3.6405
285;3.62859
286;3.61673
287;3.60494
288;3.5932
289;3.58152
290;3.5699
291;3.55833
292;3.54682
293;3.53537
294;3.52396
295;3.51261
296;3.50132
297;3.49007
298;3.47888
299;3.46774
300;3.45666
301;3.44562
302;3.43463
303;3.42369
304;3.4128
305;3.40196
306;3.39117
307;3.38042
308;3.36972
309;3.35907
310;3.34846
311;3.3379
312;3.32739
313;3.31692
314;3.30649
315;3.29611
316;3.28578
317;3.27548
318;3.26523
319;3.25502
320;3.24486
321;3.23473
322;3.22465
323;3.21461
324;3.20461
325;3.19465
326;3.18473
327;3.17485
328;3.165
329;3.1552
330;3.14544
331;3.13571
332;3.12603
333;3.11638
334;3.10677
335;3.09719
336;3.08766
337;3.07816
338;3.06869
339;3.05927
340;3.04987
341;3.04052
342;3.0312
343;3.02191
344;3.01266
345;3.00344
346;2.99426
347;2.98511
348;2.976
349;2.96692
350;2.95787
351;2.94886
352;2.93988
353;2.93093
354;2.92201
355;2.91313
356;2.90427
357;2.89545
358;2.88667
359;2.87791
360;2.86918
361;2.86049
362;2.85182
363;2.84319
364;2.83458
365;2.82601
366;2.81746
367;2.80895
368;2.80046
369;2.79201
370;2.78358
371;2.77519
372;2.76682
373;2.75848
374;2.75017
375;2.74188
376;2.73363
377;2.7254
378;2.7172
379;2.70903
380;2.70089
381;2.69277
382;2.68468
383;2.67662
384;2.66858
385;2.66057
386;2.65259
387;2.64464
388;2.63671
389;2.6288
390;2.62093
391;2.61307
392;2.60525
393;2.59745
394;2.58967
395;2.58192
396;2.5742
397;2.5665
398;2.55883
399;2.55118
400;2.54355
401;2.53595
402;2.52838
403;2.52083
404;2.5133
405;2.50579
406;2.49832
407;2.49086
408;2.48343
409;2.47602
410;2.46864
411;2.46127
412;2.45394
413;2.44662
414;2.43933
415;2.43206
416;2.42482
417;2.41759
418;2.41039
419;2.40321
420;2.39606
421;2.38892
422;2.38181
423;2.37472
424;2.36766
425;2.36061
426;2.35359
427;2.34659
428;2.33961
429;2.33265
430;2.32571
431;2.3188
432;2.3119
433;2.30503
434;2.29818
435;2.29135
436;2.28454
437;2.27775
438;2.27098
439;2.26424
440;2.25751
441;2.2508
442;2.24412
443;2.23745
444;2.23081
445;2.22418
446;2.21758
447;2.21099
448;2.20443
449;2.19788
450;2.19136
451;2.18485
452;2.17836
453;2.1719
454;2.16545
455;2.15902
456;2.15262
457;2.14623
458;2.13986
459;2.13351
460;2.12718
461;2.12087
462;2.11457
463;2.1083
464;2.10204
465;2.09581
466;2.08959
467;2.08339
468;2.07721
469;2.07105
470;2.0649
471;2.05878
472;2.05267
473;2.04658
474;2.04051
475;2.03446
476;2.02842
477;2.02241
478;2.01641
479;2.01043
480;2.00446
481;1.99852
482;1.99259
483;1.98668
484;1.98079
485;1.97491
486;1.96906
487;1.96322
488;1.95739
489;1.95159
490;1.9458
491;1.94003
492;1.93427
493;1.92854
494;1.92282
495;1.91711
496;1.91143
497;1.90576
498;1.90011
499;1.89447
500;1.88885
501;1.88325
502;1.87766
503;1.8721
504;1.86654
505;1.86101
506;1.85549
507;1.84998
508;1.8445
509;1.83902
510;1.83357
511;1.82813
512;1.82271
513;1.8173
514;1.81191
515;1.80654
516;1.80118
517;1.79584
518;1.79051
519;1.7852
520;1.7799
521;1.77462
522;1.76936
523;1.76411
524;1.75888
525;1.75366
526;1.74846
527;1.74327
528;1.7381
529;1.73294
530;1.7278
531;1.72267
532;1.71756
533;1.71247
534;1.70739
535;1.70232
536;1.69727
537;1.69224
538;1.68721
539;1.68221
540;1.67722
541;1.67224
542;1.66728
543;1.66233
544;1.6574
545;1.65248
546;1.64758
547;1.64269
548;1.63782
549;1.63296
550;1.62812
551;1.62328
552;1.61847
553;1.61367
554;1.60888
555;1.60411
556;1.59935
557;1.5946
558;1.58987
559;1.58515
560;1.58045
561;1.57576
562;1.57109
563;1.56642
564;1.56178
565;1.55714
566;1.55252
567;1.54792
568;1.54332
569;1.53875
570;1.53418
571;1.52963
572;1.52509
573;1.52057
574;1.51606
575;1.51156
576;1.50708
577;1.5026
578;1.49815
579;1.4937
580;1.48927
581;1.48485
582;1.48045
583;1.47606
584;1.47168
585;1.46732
586;1.46296
587;1.45863
588;1.4543
589;1.44999
590;1.44569
591;1.4414
592;1.43712
593;1.43286
594;1.42861
595;1.42438
596;1.42015
597;1.41594
598;1.41175
599;1.40756
600;1.40339
601;1.39923
602;1.39508
603;1.39094
604;1.38682
605;1.38271
606;1.37861
607;1.37453
608;1.37045
609;1.36639
610;1.36234
611;1.3583
612;1.35428
613;1.35027
614;1.34627
615;1.34228
616;1.3383
617;1.33434
618;1.33038
619;1.32644
620;1.32251
621;1.3186
622;1.31469
623;1.3108
624;1.30692
625;1.30305
626;1.29919
627;1.29534
