x_n;y_n
0.41041;1
0.412412;1
0.414414;1
0.416416;1
0.418418;1
0.42042;1
0.422422;1
0.424424;1
0.426426;1
0.428428;1
0.43043;1
0.432432;1
0.434434;1
0.436436;1
0.438438;1
0.44044;1
0.442442;1
0.444444;1
0.446446;1
0.448448;1
0.45045;1
0.452452;1
0.454454;1
0.456456;1
0.458458;1
0.46046;1
0.462462;1
0.464464;1
0.466466;1
0.468468;1
0.47047;1
0.472472;1
0.474474;1
0.476476;1
0.478478;1
0.48048;1
0.482482;1
0.484484;1
0.486486;1
0.488488;1
0.49049;1
0.492492;1
0.494494;1
0.496496;1
0.498498;1
0.500501;1
0.502503;1
0.504505;1
0.506507;1
0.508509;1
0.510511;1
0.512513;1
0.514515;1
0.516517;1
0.518519;1
0.520521;1
0.522523;1
0.524525;1
0.526527;1
0.528529;1
0.530531;1
0.532533;1
0.534535;1
0.536537;1
0.538539;1
0.540541;1
0.542543;1
0.544545;1
0.546547;1
0.548549;1
0.550551;1
0.552553;1
0.554555;1
0.556557;1
0.558559;1
0.560561;1
0.562563;1
0.564565;1
0.566567;1
0.568569;1
0.570571;1
0.572573;1
0.574575;1
0.576577;1
0.578579;1
0.580581;1
0.582583;1
0.584585;1
0.586587;1
0.588589;1
0.590591;1
0.592593;1
0.594595;1
0.596597;1
0.598599;1
0.600601;1
0.602603;1
0.604605;1
0.606607;1
0.608609;1
0.610611;1
0.612613;1
0.614615;1
0.616617;1
0.618619;1
0.620621;1
0.622623;1
0.624625;1
0.626627;1
0.628629;1
0.630631;1
0.632633;1
0.634635;1
0.636637;1
0.638639;1
0.640641;1
0.642643;1
0.644645;1
0.646647;1
0.648649;1
0.650651;1
0.652653;1
0.654655;1
0.656657;1
0.658659;1
0.660661;1
0.662663;1
0.664665;1
0.666667;1
0.668669;1
0.670671;1
0.672673;1
0.674675;1
0.676677;1
0.678679;1
0.680681;1
0.682683;1
0.684685;1
0.686687;1
0.688689;1
0.690691;1
0.692693;1
0.694695;1
0.696697;1
0.698699;1
0.700701;1
0.702703;1
0.704705;1
0.706707;1
0.708709;1
0.710711;1
0.712713;1
0.714715;1
0.716717;1
0.718719;1
0.720721;1
0.722723;1
0.724725;1
0.726727;1
0.728729;1
0.730731;1
0.732733;1
0.734735;1
0.736737;1
0.738739;1
0.740741;1
0.742743;1
0.744745;1
0.746747;1
0.748749;1
0.750751;1
0.752753;1
0.754755;1
0.756757;1
0.758759;1
0.760761;1
0.762763;1
0.764765;1
0.766767;1
0.768769;1
0.770771;1
0.772773;1
0.774775;1
0.776777;1
0.778779;1
0.780781;1
0.782783;1
0.784785;1
0.786787;1
0.788789;1
0.790791;1
0.792793;1
0.794795;1
0.796797;1
0.798799;1
0.800801;1
0.802803;1
0.804805;1
0.806807;1
0.808809;1
0.810811;1
0.812813;1
0.814815;1
0.816817;1
0.818819;1
0.820821;1
0.822823;1
0.824825;1
0.826827;1
0.828829;1
0.830831;1
0.832833;1
0.834835;1
0.836837;1
0.838839;1
0.840841;1
0.842843;1
0.844845;1
0.846847;1
0.848849;1
0.850851;1
0.852853;1
0.854855;1
0.856857;1
0.858859;1
0.860861;1
0.862863;1
0.864865;1
0.866867;1
0.868869;1
0.870871;1
0.872873;1
0.874875;1
0.876877;1
0.878879;1
0.880881;1
0.882883;1
0.884885;1
0.886887;1
0.888889;1
0.890891;1
0.892893;1
0.894895;1
0.896897;1
0.898899;1
0.900901;1
0.902903;1
0.904905;1
0.906907;1
0.908909;1
0.910911;1
0.912913;1
0.914915;1
0.916917;1
0.918919;1
0.920921;1
0.922923;1
0.924925;1
0.926927;1
0.928929;1
0.930931;1
0.932933;1
0.934935;1
0.936937;1
0.938939;1
0.940941;1
0.942943;1
0.944945;1
0.946947;1
0.948949;1
0.950951;1
0.952953;1
0.954955;1
0.956957;1
0.958959;1
0.960961;1
0.962963;1
0.964965;1
0.966967;1
0.968969;1
0.970971;1
0.972973;1
0.974975;1
0.976977;1
0.978979;1
0.980981;1
0.982983;1
0.984985;1
0.986987;1
0.988989;1
0.990991;1
0.992993;1
0.994995;1
0.996997;1
0.998999;1
1.001;1
1.003;1
1.00501;1
1.00701;1
1.00901;1
1.01101;1
1.01301;1
1.01502;1
1.01702;1
1.01902;1
1.02102;1
1.02302;1
1.02503;1
1.02703;1
1.02903;1
1.03103;1
1.03303;1
1.03504;1
1.03704;1
1.03904;1
1.04104;1
1.04304;1
1.04505;1
1.04705;1
1.04905;1
1.05105;1
1.05305;1
1.05506;1
1.05706;1
1.05906;1
1.06106;1
1.06306;1
1.06507;1
1.06707;1
1.06907;1
1.07107;1
1.07307;1
1.07508;1
1.07708;1
1.07908;1
1.08108;1
1.08308;1
1.08509;1
1.08709;1
1.08909;1
1.09109;1
1.09309;1
1.0951;1
1.0971;1
1.0991;1
1.1011;1
1.1031;1
1.10511;1
1.10711;1
1.10911;1
1.11111;1
1.11311;1
1.11512;1
1.11712;1
1.11912;1
1.12112;1
1.12312;1
1.12513;1
1.12713;1
1.12913;1
1.13113;1
1.13313;1
1.13514;1
1.13714;1
1.13914;1
1.14114;1
1.14314;1
1.14515;1
1.14715;1
1.14915;1
1.15115;1
1.15315;1
1.15516;1
1.15716;1
1.15916;1
1.16116;1
1.16316;1
1.16517;1
1.16717;1
1.16917;1
1.17117;1
1.17317;1
1.17518;1
1.17718;1
1.17918;1
1.18118;1
1.18318;1
1.18519;1
1.18719;1
1.18919;1
1.19119;1
1.19319;1
1.1952;1
1.1972;1
1.1992;1
1.2012;1
1.2032;1
1.20521;1
1.20721;1
1.20921;1
1.21121;1
1.21321;1
1.21522;1
1.21722;1
1.21922;1
1.22122;1
1.22322;1
1.22523;1
1.22723;1
1.22923;1
1.23123;1
1.23323;1
1.23524;1
1.23724;1
1.23924;1
1.24124;1
1.24324;1
1.24525;1
1.24725;1
1.24925;1
1.25125;1
1.25325;1
1.25526;1
1.25726;1
1.25926;1
1.26126;1
1.26326;1
1.26527;1
1.26727;1
1.26927;1
1.27127;1
1.27327;1
1.27528;1
1.27728;1
1.27928;1
1.28128;1
1.28328;1
1.28529;1
1.28729;1
1.28929;1
1.29129;1
1.29329;1
1.2953;1
1.2973;1
1.2993;1
1.3013;1
1.3033;1
1.30531;1
1.30731;1
1.30931;1
1.31131;1
1.31331;1
1.31532;1
1.31732;1
1.31932;1
