n;Sparse LU;
100;66;
1099;977;
2098;1583;
3097;2220;
4096;3086;
5095;3904;
6094;4653;
7093;4654;
8092;5699;
9091;6475;
10090;7310;
11089;7612;
12088;8189;
13087;8916;
14086;9609;
15085;10166;
16084;11120;
17083;11874;
18082;12462;
19081;12032;
20080;12597;
21079;13031;
22078;15371;
23077;14345;
24076;15954;
25075;15866;
26074;17468;
27073;20512;
28072;20865;
29071;23772;
30070;24408;
31069;26850;
32068;24090;
33067;26436;
34066;26613;
35065;30527;
36064;29111;
37063;29997;
38062;27968;
39061;32754;
40060;31933;
41059;33145;
42058;31497;
43057;32923;
44056;33997;
45055;36963;
46054;39205;
47053;36014;
48052;34621;
49051;35902;
50050;37581;
51049;42052;
52048;36666;
53047;32717;
54046;39885;
55045;43947;
56044;43054;
57043;40627;
58042;41505;
59041;39447;
60040;38707;
61039;45963;
62038;37507;
63037;47968;
64036;47879;
65035;44186;
66034;49023;
67033;46577;
68032;44032;
69031;54624;
70030;46202;
71029;50581;
72028;52268;
73027;46555;
74026;54283;
75025;48928;
76024;55672;
77023;52764;
78022;49796;
79021;54123;
80020;49476;
81019;59500;
82018;60075;
83017;59792;
84016;60899;
85015;62665;
86014;62573;
87013;64254;
88012;67847;
89011;65131;
90010;64959;
91009;62819;
92008;65627;
93007;64240;
94006;65246;
95005;66775;
96004;65908;
97003;67761;
98002;66383;
99001;67636;

