n;Sparse LU;
100;292;
430;1352;
760;2708;
1090;3925;
1420;5046;
1750;3104;
2080;3484;
2410;3625;
2740;3681;
3070;4324;
3400;3641;
3730;4331;
4060;5113;
4390;5121;
4720;5908;
5050;6554;
5380;6318;
5710;7067;
6040;7048;
6370;7004;
6700;7457;
7030;7856;
7360;7758;
7690;8557;
8020;8193;
8350;8952;
8680;8994;
9010;9594;
9340;9432;
9670;9959;

