n;Sherman Morrison;
100;3;
430;14;
760;23;
1090;31;
1420;41;
1750;51;
2080;76;
2410;89;
2740;112;
3070;128;
3400;148;
3730;172;
4060;181;
4390;201;
4720;220;
5050;240;
5380;256;
5710;279;
6040;296;
6370;318;
6700;338;
7030;365;
7360;394;
7690;419;
8020;448;
8350;467;
8680;497;
9010;498;
9340;536;
9670;557;
