n;Sparse QR;
100;173;
430;8088;
760;40746;
1090;112569;
1420;235714;
1750;430169;
2080;722643;
2410;1137338;
2740;1607507;
3070;2290049;
3400;3107463;
3730;4160299;
4060;5425838;
4390;6909120;
4720;8648348;
5050;10639350;
5380;12978314;
5710;15600737;
6040;18558965;
6370;21710176;
6700;25321339;
7030;29330618;
7360;33573930;
7690;38364464;
8020;43267184;
8350;49050917;
8680;54932428;
9010;61457511;
9340;68679878;
9670;75596048;
