n;Dense Partial Pivot LU;
100;451;
430;23204;
760;81502;
1090;102231;
1420;139099;
1750;220242;
2080;395689;
2410;672263;
2740;806610;
3070;999921;
3400;1305055;
3730;1728246;
4060;2138703;
4390;2740636;
4720;3322351;
5050;4090847;
5380;4838245;
5710;5877136;
6040;6753522;
6370;8878619;
6700;9583920;
7030;11201399;
7360;12663161;
7690;13994302;
8020;16589722;
8350;19131357;
8680;19982167;
9010;22608328;
9340;25764225;
9670;29465662;
