x;y
-5;0.0384615
-4.09091;0.056384
-3.18182;0.089896
-2.27273;0.162198
-1.36364;0.349711
-0.454545;0.828767
0.454545;0.828767
1.36364;0.349711
2.27273;0.162198
3.18182;0.089896
4.09091;0.056384
5;0.0384615
