n;Dense Full Pivot LU;
100;164;
430;16472;
760;84074;
1090;272511;
1420;756080;
1750;1639035;
2080;2998697;
2410;4961580;
2740;7461164;
3070;10824810;
3400;14999969;
3730;19921758;
4060;25898336;
4390;33073767;
4720;41429697;
5050;50795715;
5380;62035824;
5710;75639675;
6040;91122777;
6370;106821321;
6700;123903734;
7030;144391426;
7360;166311484;
7690;193383648;
8020;228878011;
8350;258634566;
8680;297796518;
9010;336206658;
9340;388057467;
9670;436950469;

