n;Sparse QR;
100;29;
430;125;
760;288;
1090;502;
1420;753;
1750;1043;
2080;1385;
2410;1864;
2740;2406;
3070;3507;
3400;4284;
3730;5018;
4060;5687;
4390;6640;
4720;7459;
5050;8354;
5380;9468;
5710;10395;
6040;11482;
6370;12638;
6700;13665;
7030;14898;
7360;13673;
7690;15778;
8020;16929;
8350;18254;
8680;19624;
9010;21027;
9340;22557;
9670;24898;

