n;Thomas Algorithm;
100;2;
430;11;
760;20;
1090;29;
1420;40;
1750;48;
2080;58;
2410;69;
2740;80;
3070;113;
3400;137;
3730;163;
4060;177;
4390;171;
4720;156;
5050;173;
5380;167;
5710;172;
6040;161;
6370;173;
6700;164;
7030;176;
7360;170;
7690;181;
8020;189;
8350;200;
8680;211;
9010;220;
9340;231;
9670;241;

