n;Sparse LU;
100;44;
430;228;
760;416;
1090;563;
1420;754;
1750;955;
2080;1152;
2410;1363;
2740;1564;
3070;1756;
3400;1931;
3730;2151;
4060;2348;
4390;2543;
4720;2785;
5050;2902;
5380;3077;
5710;3303;
6040;3467;
6370;3667;
6700;3867;
7030;4057;
7360;4245;
7690;4582;
8020;4642;
8350;4989;
8680;5027;
9010;5378;
9340;5418;
9670;5860;

